# Figure 1b -- GM12878 chr7 Hi-C contact values, for the R-drawn contact map.
# Written by figures/scripts/export_hic_matrix.py. EXPORT ONLY: no value here is
# rescaled, logged or coloured -- these are the cooler's own ICE-balanced contact
# frequencies (count * weight_i * weight_j), exactly as the software reads them.
# source: /home/coder/TAD/creditad/package_stage/example_data/chr7_tracks/GM12878_chr7_hg38.mcool
# cooler: /resolutions/10000   balanced: True (ICE 'weight' column)
# drawn window: chr7:86525000-87325000   triangle apex separation: 260000 bp
# fetched region: chr7:86375000-87475000 (half the apex beyond each edge, so the drawn
#   triangle's upper corners are covered; the panel clips to the drawn window)
# rows: EVERY cell of the drawn region -- including cells with no contacts, so the
#   panel renders them deliberately rather than leaving bare paper, and including
#   one row/column of OVERDRAW beyond the drawn limits so the panel's clip cuts a
#   straight edge (the overdraw is exported, not drawn).
# geometry: ROTATED TRIANGLE, 3.08:1 (window 800 kb : separation cap 260 kb)
# status: measured      = a contact count was observed
#         zero          = both bins are ICE-weighted and the count is zero
#         unmeasurable  = a bin carries no ICE weight (balanced is NA)
# columns: bin_i bin_j start_i start_j balanced count status
bin_i	bin_j	start_i	start_j	balanced	count	status
5	24	86420000	86610000	0.002202267863	23	measured
5	25	86420000	86620000	0.00186041824	18	measured
5	26	86420000	86630000	0.002584620718	35	measured
5	27	86420000	86640000	0.001270034312	14	measured
5	28	86420000	86650000	0.001251880048	13	measured
5	29	86420000	86660000	0.001771682805	21	measured
5	30	86420000	86670000	0.001316798661	16	measured
5	31	86420000	86680000	0.002020453822	25	measured
5	32	86420000	86690000	0.001332600422	20	measured
5	33	86420000	86700000	0.001153346635	14	measured
6	21	86430000	86580000	0.002312225116	32	measured
6	22	86430000	86590000	0.00226946308	33	measured
6	23	86430000	86600000	0.002773428265	42	measured
6	24	86430000	86610000	0.002255805364	28	measured
6	25	86430000	86620000	0.001565351512	18	measured
6	26	86430000	86630000	0.002112559659	34	measured
6	27	86430000	86640000	0.001602905805	21	measured
6	28	86430000	86650000	0.001053328915	13	measured
6	29	86430000	86660000	0.001419704502	20	measured
6	30	86430000	86670000	0.001592679969	23	measured
6	31	86430000	86680000	0.001768005275	26	measured
6	32	86430000	86690000	0.001569745586	28	measured
6	33	86430000	86700000	0.001039739072	15	measured
6	34	86430000	86710000	0.001739666196	22	measured
7	20	86440000	86570000	0.002139442092	19	measured
7	21	86440000	86580000	0.002128785025	25	measured
7	22	86440000	86590000	0.002755495848	34	measured
7	23	86440000	86600000	0.002101082342	27	measured
7	24	86440000	86610000	0.002278591628	24	measured
7	25	86440000	86620000	0.002049656242	20	measured
7	26	86440000	86630000	0.002123438685	29	measured
7	27	86440000	86640000	0.002608545203	29	measured
7	28	86440000	86650000	0.002291625033	24	measured
7	29	86440000	86660000	0.002091315876	25	measured
7	30	86440000	86670000	0.0005712291796	7	measured
7	31	86440000	86680000	0.001762968495	22	measured
7	32	86440000	86690000	0.001717735334	26	measured
7	33	86440000	86700000	0.001388652846	17	measured
7	34	86440000	86710000	0.001677364359	18	measured
7	35	86440000	86720000	0.001416678968	18	measured
8	19	86450000	86560000	0.002990829852	41	measured
8	20	86450000	86570000	0.002250315328	18	measured
8	21	86450000	86580000	0.002552580812	27	measured
8	22	86450000	86590000	0.00314929125	35	measured
8	23	86450000	86600000	0.002764733184	32	measured
8	24	86450000	86610000	0.002951462198	28	measured
8	25	86450000	86620000	0.001706735537	15	measured
8	26	86450000	86630000	0.001056839453	13	measured
8	27	86450000	86640000	0.001897483063	19	measured
8	28	86450000	86650000	0.001908221388	18	measured
8	29	86450000	86660000	0.001393140196	15	measured
8	30	86450000	86670000	0.001630830358	18	measured
8	31	86450000	86680000	0.001245586362	14	measured
8	32	86450000	86690000	0.001467022704	20	measured
8	33	86450000	86700000	0.001451071085	16	measured
8	34	86450000	86710000	0.00165538428	16	measured
8	35	86450000	86720000	0.001835025798	21	measured
8	36	86450000	86730000	0.001232249405	19	measured
9	18	86460000	86550000	0.005266264096	38	measured
9	19	86460000	86560000	0.003526358635	64	measured
9	20	86460000	86570000	0.003116186686	33	measured
9	21	86460000	86580000	0.002927778702	41	measured
9	22	86460000	86590000	0.002310799972	34	measured
9	23	86460000	86600000	0.002806146607	43	measured
9	24	86460000	86610000	0.002229337799	28	measured
9	25	86460000	86620000	0.002406421272	28	measured
9	26	86460000	86630000	0.002333393138	38	measured
9	27	86460000	86640000	0.002262998241	30	measured
9	28	86460000	86650000	0.002482313348	31	measured
9	29	86460000	86660000	0.001683656379	24	measured
9	30	86460000	86670000	0.001231820541	18	measured
9	31	86460000	86680000	0.001209642308	18	measured
9	32	86460000	86690000	0.001662136737	30	measured
9	33	86460000	86700000	0.00246609533	36	measured
9	34	86460000	86710000	0.00132851487	17	measured
9	35	86460000	86720000	0.001452058839	22	measured
9	36	86460000	86730000	0.001567594204	32	measured
9	37	86460000	86740000	0.001032411754	15	measured
10	17	86470000	86540000	0.005337647087	72	measured
10	18	86470000	86550000	0.003924829151	28	measured
10	19	86470000	86560000	0.004235491203	76	measured
10	20	86470000	86570000	0.003438394598	36	measured
10	21	86470000	86580000	0.004333605044	60	measured
10	22	86470000	86590000	0.002680968621	39	measured
10	23	86470000	86600000	0.002376227893	36	measured
10	24	86470000	86610000	0.003704412723	46	measured
10	25	86470000	86620000	0.001999333071	23	measured
10	26	86470000	86630000	0.003540159772	57	measured
10	27	86470000	86640000	0.00244149943	32	measured
10	28	86470000	86650000	0.002591722948	32	measured
10	29	86470000	86660000	0.002412486116	34	measured
10	30	86470000	86670000	0.002561063508	37	measured
10	31	86470000	86680000	0.002243066195	33	measured
10	32	86470000	86690000	0.002185514983	39	measured
10	33	86470000	86700000	0.0020786066	30	measured
10	34	86470000	86710000	0.001976064856	25	measured
10	35	86470000	86720000	0.001468682439	22	measured
10	36	86470000	86730000	0.001535992346	31	measured
10	37	86470000	86740000	0.001253077331	18	measured
10	38	86470000	86750000	0.001918615035	29	measured
11	16	86480000	86530000	0.006793371162	73	measured
11	17	86480000	86540000	0.005325399558	49	measured
11	18	86480000	86550000	0.005548367866	27	measured
11	19	86480000	86560000	0.005637389483	69	measured
11	20	86480000	86570000	0.003920577154	28	measured
11	21	86480000	86580000	0.004235423359	40	measured
11	22	86480000	86590000	0.003325675126	33	measured
11	23	86480000	86600000	0.002612691373	27	measured
11	24	86480000	86610000	0.004368195006	37	measured
11	25	86480000	86620000	0.003185928911	25	measured
11	26	86480000	86630000	0.002549440008	28	measured
11	27	86480000	86640000	0.002572605794	23	measured
11	28	86480000	86650000	0.003324569266	28	measured
11	29	86480000	86660000	0.001768371819	17	measured
11	30	86480000	86670000	0.00152211912	15	measured
11	31	86480000	86680000	0.003288371297	33	measured
11	32	86480000	86690000	0.001314461657	16	measured
11	33	86480000	86700000	0.00213308961	21	measured
11	34	86480000	86710000	0.00162228809	14	measured
11	35	86480000	86720000	0.002153112194	22	measured
11	36	86480000	86730000	0.001670682611	23	measured
11	37	86480000	86740000	0.002347318182	23	measured
11	38	86480000	86750000	0.00106689404	11	measured
11	39	86480000	86760000	0.001976038571	23	measured
12	15	86490000	86520000	0.009458040465	104	measured
12	16	86490000	86530000	0.007738398	86	measured
12	17	86490000	86540000	0.006410266437	61	measured
12	18	86490000	86550000	0.00695439983	35	measured
12	19	86490000	86560000	0.004028925663	51	measured
12	20	86490000	86570000	0.00419704664	31	measured
12	21	86490000	86580000	0.004709608384	46	measured
12	22	86490000	86590000	0.003702879735	38	measured
12	23	86490000	86600000	0.00271339158	29	measured
12	24	86490000	86610000	0.003652922012	32	measured
12	25	86490000	86620000	0.003203756854	26	measured
12	26	86490000	86630000	0.002289023448	26	measured
12	27	86490000	86640000	0.00313641508	29	measured
12	28	86490000	86650000	0.003099782675	27	measured
12	29	86490000	86660000	0.002715679764	27	measured
12	30	86490000	86670000	0.002158590151	22	measured
12	31	86490000	86680000	0.002794184214	29	measured
12	32	86490000	86690000	0.002065339331	26	measured
12	33	86490000	86700000	0.002553602422	26	measured
12	34	86490000	86710000	0.0015686213	14	measured
12	35	86490000	86720000	0.0009463114779	10	measured
12	36	86490000	86730000	0.001545179455	22	measured
12	37	86490000	86740000	0.001282855106	13	measured
12	38	86490000	86750000	0.001781854889	19	measured
12	39	86490000	86760000	0.002076814552	25	measured
12	40	86490000	86770000	0.001522983497	16	measured
13	14	86500000	86510000	0.03341838634	387	measured
13	15	86500000	86520000	0.01729877806	200	measured
13	16	86500000	86530000	0.0124090409	145	measured
13	17	86500000	86540000	0.008995107501	90	measured
13	18	86500000	86550000	0.009259878627	49	measured
13	19	86500000	86560000	0.00706259877	94	measured
13	20	86500000	86570000	0.00437802887	34	measured
13	21	86500000	86580000	0.004381845701	45	measured
13	22	86500000	86590000	0.003985126103	43	measured
13	23	86500000	86600000	0.003381548918	38	measured
13	24	86500000	86610000	0.003257086401	30	measured
13	25	86500000	86620000	0.003984581552	34	measured
13	26	86500000	86630000	0.002930640456	35	measured
13	27	86500000	86640000	0.002880123888	28	measured
13	28	86500000	86650000	0.002729763947	25	measured
13	29	86500000	86660000	0.002582832002	27	measured
13	30	86500000	86670000	0.002052994538	22	measured
13	31	86500000	86680000	0.0029324095	32	measured
13	32	86500000	86690000	0.002039855643	27	measured
13	33	86500000	86700000	0.001961628809	21	measured
13	34	86500000	86710000	0.00159844955	15	measured
13	35	86500000	86720000	0.002790059109	31	measured
13	36	86500000	86730000	0.002271186321	34	measured
13	37	86500000	86740000	0.001313953189	14	measured
13	38	86500000	86750000	0.001516300422	17	measured
13	39	86500000	86760000	0.002054228074	26	measured
13	40	86500000	86770000	0.002715901856	30	measured
13	41	86500000	86780000	0.001252024307	11	measured
14	14	86510000	86510000	0.09809359895	1682	measured
14	15	86510000	86520000	0.03487385271	597	measured
14	16	86510000	86530000	0.01814847045	314	measured
14	17	86510000	86540000	0.01113750622	165	measured
14	18	86510000	86550000	0.01021032034	80	measured
14	19	86510000	86560000	0.007408490074	146	measured
14	20	86510000	86570000	0.007218018041	83	measured
14	21	86510000	86580000	0.005918712476	90	measured
14	22	86510000	86590000	0.004256206517	68	measured
14	23	86510000	86600000	0.004086779039	68	measured
14	24	86510000	86610000	0.003152946829	43	measured
14	25	86510000	86620000	0.003165949338	40	measured
14	26	86510000	86630000	0.003279915509	58	measured
14	27	86510000	86640000	0.002639835722	38	measured
14	28	86510000	86650000	0.002802262715	38	measured
14	29	86510000	86660000	0.003294903787	51	measured
14	30	86510000	86670000	0.002962123337	47	measured
14	31	86510000	86680000	0.003342016318	54	measured
14	32	86510000	86690000	0.002602231999	51	measured
14	33	86510000	86700000	0.002712727429	43	measured
14	34	86510000	86710000	0.002518928765	35	measured
14	35	86510000	86720000	0.001641177828	27	measured
14	36	86510000	86730000	0.001308314069	29	measured
14	37	86510000	86740000	0.002155117439	34	measured
14	38	86510000	86750000	0.00259026953	43	measured
14	39	86510000	86760000	0.002401198109	45	measured
14	40	86510000	86770000	0.002078796136	34	measured
14	41	86510000	86780000	0.002306117847	30	measured
14	42	86510000	86790000	0.001952101587	43	measured
15	15	86520000	86520000	0.08138861318	1391	measured
15	16	86520000	86530000	0.03207237092	554	measured
15	17	86520000	86540000	0.0169702663	251	measured
15	18	86520000	86550000	0.01137759075	89	measured
15	19	86520000	86560000	0.009656980827	190	measured
15	20	86520000	86570000	0.008710654566	100	measured
15	21	86520000	86580000	0.005796666654	88	measured
15	22	86520000	86590000	0.004513954703	72	measured
15	23	86520000	86600000	0.004093474391	68	measured
15	24	86520000	86610000	0.004259779365	58	measured
15	25	86520000	86620000	0.004598147344	58	measured
15	26	86520000	86630000	0.003625146462	64	measured
15	27	86520000	86640000	0.002992076415	43	measured
15	28	86520000	86650000	0.00280685365	38	measured
15	29	86520000	86660000	0.003041454613	47	measured
15	30	86520000	86670000	0.002588213255	41	measured
15	31	86520000	86680000	0.002541613938	41	measured
15	32	86520000	86690000	0.002759818473	54	measured
15	33	86520000	86700000	0.002464411522	39	measured
15	34	86520000	86710000	0.00165800791	23	measured
15	35	86520000	86720000	0.002922429445	48	measured
15	36	86520000	86730000	0.002123844872	47	measured
15	37	86520000	86740000	0.002031668856	32	measured
15	38	86520000	86750000	0.002232488066	37	measured
15	39	86520000	86760000	0.001817210831	34	measured
15	40	86520000	86770000	0.002143443049	35	measured
15	41	86520000	86780000	0.001770920228	23	measured
15	42	86520000	86790000	0.002273604311	50	measured
15	43	86520000	86800000	0.001538420849	25	measured
16	16	86530000	86530000	0.1044794597	1824	measured
16	17	86530000	86540000	0.03338107083	499	measured
16	18	86530000	86550000	0.01530489853	121	measured
16	19	86530000	86560000	0.01101327962	219	measured
16	20	86530000	86570000	0.009652806422	112	measured
16	21	86530000	86580000	0.006061266586	93	measured
16	22	86530000	86590000	0.006637327707	107	measured
16	23	86530000	86600000	0.005122316379	86	measured
16	24	86530000	86610000	0.004578091244	63	measured
16	25	86530000	86620000	0.004157339988	53	measured
16	26	86530000	86630000	0.004203312019	75	measured
16	27	86530000	86640000	0.004130857927	60	measured
16	28	86530000	86650000	0.004092691242	56	measured
16	29	86530000	86660000	0.003521526446	55	measured
16	30	86530000	86670000	0.002373474553	38	measured
16	31	86530000	86680000	0.002453412089	40	measured
16	32	86530000	86690000	0.003135185413	62	measured
16	33	86530000	86700000	0.002876015605	46	measured
16	34	86530000	86710000	0.002139758694	30	measured
16	35	86530000	86720000	0.002108412706	35	measured
16	36	86530000	86730000	0.002414368058	54	measured
16	37	86530000	86740000	0.002764015054	44	measured
16	38	86530000	86750000	0.001850690939	31	measured
16	39	86530000	86760000	0.00237970814	45	measured
16	40	86530000	86770000	0.002363160911	39	measured
16	41	86530000	86780000	0.001980748307	26	measured
16	42	86530000	86790000	0.002024613723	45	measured
16	43	86530000	86800000	0.0024963403	41	measured
16	44	86530000	86810000	0.002368972282	46	measured
17	17	86540000	86540000	0.1174227735	1503	measured
17	18	86540000	86550000	0.03944118734	267	measured
17	19	86540000	86560000	0.01703194255	290	measured
17	20	86540000	86570000	0.012581697	125	measured
17	21	86540000	86580000	0.008220492305	108	measured
17	22	86540000	86590000	0.006592414563	91	measured
17	23	86540000	86600000	0.007164713147	103	measured
17	24	86540000	86610000	0.005431471479	64	measured
17	25	86540000	86620000	0.00513004689	56	measured
17	26	86540000	86630000	0.004516199223	69	measured
17	27	86540000	86640000	0.003618221555	45	measured
17	28	86540000	86650000	0.002901973932	34	measured
17	29	86540000	86660000	0.003589245271	48	measured
17	30	86540000	86670000	0.002990738728	41	measured
17	31	86540000	86680000	0.003366681265	47	measured
17	32	86540000	86690000	0.003248088579	55	measured
17	33	86540000	86700000	0.003431823146	47	measured
17	34	86540000	86710000	0.001665969995	20	measured
17	35	86540000	86720000	0.002954816432	42	measured
17	36	86540000	86730000	0.002245286718	43	measured
17	37	86540000	86740000	0.002347639135	32	measured
17	38	86540000	86750000	0.002300804824	33	measured
17	39	86540000	86760000	0.002532145597	41	measured
17	40	86540000	86770000	0.00290139046	41	measured
17	41	86540000	86780000	0.003380906627	38	measured
17	42	86540000	86790000	0.002259392864	43	measured
17	43	86540000	86800000	0.002630966328	37	measured
17	44	86540000	86810000	0.002586212687	43	measured
17	45	86540000	86820000	0.001707598374	22	measured
18	18	86550000	86550000	0.1720540092	616	measured
18	19	86550000	86560000	0.03053825697	275	measured
18	20	86550000	86570000	0.01579620157	83	measured
18	21	86550000	86580000	0.01309666834	91	measured
18	22	86550000	86590000	0.007533749453	55	measured
18	23	86550000	86600000	0.004997934324	38	measured
18	24	86550000	86610000	0.007220967808	45	measured
18	25	86550000	86620000	0.005196368341	30	measured
18	26	86550000	86630000	0.003093922105	25	measured
18	27	86550000	86640000	0.003800738737	25	measured
18	28	86550000	86650000	0.003873211363	24	measured
18	29	86550000	86660000	0.004948519768	35	measured
18	30	86550000	86670000	0.003172253021	23	measured
18	31	86550000	86680000	0.003521460797	26	measured
18	32	86550000	86690000	0.003349899634	30	measured
18	33	86550000	86700000	0.002347044523	17	measured
18	34	86550000	86710000	0.002992513692	19	measured
18	35	86550000	86720000	0.001995344278	15	measured
18	36	86550000	86730000	0.002172057902	22	measured
18	37	86550000	86740000	0.002358172928	17	measured
18	38	86550000	86750000	0.001845607052	14	measured
18	39	86550000	86760000	0.001634851155	14	measured
18	40	86550000	86770000	0.002809874885	21	measured
18	41	86550000	86780000	0.002691627325	16	measured
18	42	86550000	86790000	0.002086353802	21	measured
18	43	86550000	86800000	0.002420089551	18	measured
18	44	86550000	86810000	0.002388143629	21	measured
18	45	86550000	86820000	0.002641684345	18	measured
18	46	86550000	86830000	0.002223339765	12	measured
19	19	86560000	86560000	0.08516697963	1929	measured
19	20	86560000	86570000	0.0388924373	514	measured
19	21	86560000	86580000	0.0161932246	283	measured
19	22	86560000	86590000	0.01007506086	185	measured
19	23	86560000	86600000	0.008052952468	154	measured
19	24	86560000	86610000	0.006826437831	107	measured
19	25	86560000	86620000	0.005371563854	78	measured
19	26	86560000	86630000	0.005117173858	104	measured
19	27	86560000	86640000	0.004170657878	69	measured
19	28	86560000	86650000	0.004298948326	67	measured
19	29	86560000	86660000	0.003822466117	68	measured
19	30	86560000	86670000	0.003399845171	62	measured
19	31	86560000	86680000	0.004038668806	75	measured
19	32	86560000	86690000	0.003640423085	82	measured
19	33	86560000	86700000	0.003897249609	71	measured
19	34	86560000	86710000	0.002630021521	42	measured
19	35	86560000	86720000	0.002803044013	53	measured
19	36	86560000	86730000	0.003140264076	80	measured
19	37	86560000	86740000	0.002812706201	51	measured
19	38	86560000	86750000	0.002044105368	39	measured
19	39	86560000	86760000	0.002414243067	52	measured
19	40	86560000	86770000	0.002340711187	44	measured
19	41	86560000	86780000	0.001939636778	29	measured
19	42	86560000	86790000	0.002369994727	60	measured
19	43	86560000	86800000	0.002993466657	56	measured
19	44	86560000	86810000	0.00244153174	54	measured
19	45	86560000	86820000	0.003267562558	56	measured
19	46	86560000	86830000	0.002651884207	36	measured
19	47	86560000	86840000	0.002469382117	49	measured
20	20	86570000	86570000	0.1364208667	1052	measured
20	21	86570000	86580000	0.03108631114	317	measured
20	22	86570000	86590000	0.01484007506	159	measured
20	23	86570000	86600000	0.01254658329	140	measured
20	24	86570000	86610000	0.00754436125	69	measured
20	25	86570000	86620000	0.007671539402	65	measured
20	26	86570000	86630000	0.005059540853	60	measured
20	27	86570000	86640000	0.004661557141	45	measured
20	28	86570000	86650000	0.004948379046	45	measured
20	29	86570000	86660000	0.00491323946	51	measured
20	30	86570000	86670000	0.004510988405	48	measured
20	31	86570000	86680000	0.003045467293	33	measured
20	32	86570000	86690000	0.003728182045	49	measured
20	33	86570000	86700000	0.003762901828	40	measured
20	34	86570000	86710000	0.002360998526	22	measured
20	35	86570000	86720000	0.003172379356	35	measured
20	36	86570000	86730000	0.003161819439	47	measured
20	37	86570000	86740000	0.001606815969	17	measured
20	38	86570000	86750000	0.002515125882	28	measured
20	39	86570000	86760000	0.00302359953	38	measured
20	40	86570000	86770000	0.002461625271	27	measured
20	41	86570000	86780000	0.002865665164	25	measured
20	42	86570000	86790000	0.002369338967	35	measured
20	43	86570000	86800000	0.004214123442	46	measured
20	44	86570000	86810000	0.002557087433	33	measured
20	45	86570000	86820000	0.004099989684	41	measured
20	46	86570000	86830000	0.001893678893	15	measured
20	47	86570000	86840000	0.00276379114	32	measured
20	48	86570000	86850000	0.002849145765	33	measured
21	21	86580000	86580000	0.1072316733	1446	measured
21	22	86580000	86590000	0.03571365943	506	measured
21	23	86580000	86600000	0.01789147837	264	measured
21	24	86580000	86610000	0.01182372405	143	measured
21	25	86580000	86620000	0.009996133525	112	measured
21	26	86580000	86630000	0.006886974497	108	measured
21	27	86580000	86640000	0.004465172247	57	measured
21	28	86580000	86650000	0.005155692389	62	measured
21	29	86580000	86660000	0.004662540226	64	measured
21	30	86580000	86670000	0.004121955792	58	measured
21	31	86580000	86680000	0.003629010345	52	measured
21	32	86580000	86690000	0.003682356803	64	measured
21	33	86580000	86700000	0.003058977024	43	measured
21	34	86580000	86710000	0.00405777444	50	measured
21	35	86580000	86720000	0.00411256887	60	measured
21	36	86580000	86730000	0.00249275818	49	measured
21	37	86580000	86740000	0.00321643363	45	measured
21	38	86580000	86750000	0.003328454601	49	measured
21	39	86580000	86760000	0.002226318316	37	measured
21	40	86580000	86770000	0.002826746721	41	measured
21	41	86580000	86780000	0.00251378596	29	measured
21	42	86580000	86790000	0.003020341341	59	measured
21	43	86580000	86800000	0.00367172506	53	measured
21	44	86580000	86810000	0.003633023358	62	measured
21	45	86580000	86820000	0.003402955608	45	measured
21	46	86580000	86830000	0.003341396293	35	measured
21	47	86580000	86840000	0.003135027408	48	measured
21	48	86580000	86850000	0.003590941094	55	measured
21	49	86580000	86860000	0.002294817234	33	measured
22	22	86590000	86590000	0.0945163582	1407	measured
22	23	86590000	86600000	0.03508893982	544	measured
22	24	86590000	86610000	0.01857202659	236	measured
22	25	86590000	86620000	0.01121287558	132	measured
22	26	86590000	86630000	0.01043907967	172	measured
22	27	86590000	86640000	0.006337403114	85	measured
22	28	86590000	86650000	0.00664819333	84	measured
22	29	86590000	86660000	0.005131016173	74	measured
22	30	86590000	86670000	0.004126047442	61	measured
22	31	86590000	86680000	0.004981672487	75	measured
22	32	86590000	86690000	0.004161870203	76	measured
22	33	86590000	86700000	0.003791620236	56	measured
22	34	86590000	86710000	0.005329617418	69	measured
22	35	86590000	86720000	0.003327064004	51	measured
22	36	86590000	86730000	0.003050378039	63	measured
22	37	86590000	86740000	0.002789169988	41	measured
22	38	86590000	86750000	0.00349115687	54	measured
22	39	86590000	86760000	0.003436100295	60	measured
22	40	86590000	86770000	0.003018491228	46	measured
22	41	86590000	86780000	0.003217539976	39	measured
22	42	86590000	86790000	0.00311826511	64	measured
22	43	86590000	86800000	0.003956166677	60	measured
22	44	86590000	86810000	0.005632833582	101	measured
22	45	86590000	86820000	0.005613935501	78	measured
22	46	86590000	86830000	0.003543672638	39	measured
22	47	86590000	86840000	0.003481105438	56	measured
22	48	86590000	86850000	0.003231305213	52	measured
22	49	86590000	86860000	0.003640205474	55	measured
22	50	86590000	86870000	0.003464661378	48	measured
23	23	86600000	86600000	0.09692686221	1565	measured
23	24	86600000	86610000	0.03256739554	431	measured
23	25	86600000	86620000	0.01794420482	220	measured
23	26	86600000	86630000	0.01200492498	206	measured
23	27	86600000	86640000	0.008733950027	122	measured
23	28	86600000	86650000	0.008131423803	107	measured
23	29	86600000	86660000	0.007589881232	114	measured
23	30	86600000	86670000	0.004871067081	75	measured
23	31	86600000	86680000	0.005867595959	92	measured
23	32	86600000	86690000	0.004206524195	80	measured
23	33	86600000	86700000	0.003965747922	61	measured
23	34	86600000	86710000	0.003930802996	53	measured
23	35	86600000	86720000	0.003069343712	49	measured
23	36	86600000	86730000	0.003812285641	82	measured
23	37	86600000	86740000	0.004245833391	65	measured
23	38	86600000	86750000	0.0034763388	56	measured
23	39	86600000	86760000	0.003849205399	70	measured
23	40	86600000	86770000	0.003780435229	60	measured
23	41	86600000	86780000	0.004277712267	54	measured
23	42	86600000	86790000	0.003602319687	77	measured
23	43	86600000	86800000	0.004115239842	65	measured
23	44	86600000	86810000	0.005301505376	99	measured
23	45	86600000	86820000	0.004284725166	62	measured
23	46	86600000	86830000	0.003402609107	39	measured
23	47	86600000	86840000	0.003461908692	58	measured
23	48	86600000	86850000	0.00262534135	44	measured
23	49	86600000	86860000	0.00330464656	52	measured
23	50	86600000	86870000	0.003534664502	51	measured
23	51	86600000	86880000	0.004436461098	93	measured
24	24	86610000	86610000	0.1193854701	1295	measured
24	25	86610000	86620000	0.03413277546	343	measured
24	26	86610000	86630000	0.01727724336	243	measured
24	27	86610000	86640000	0.01144189912	131	measured
24	28	86610000	86650000	0.008344518374	90	measured
24	29	86610000	86660000	0.007229297249	89	measured
24	30	86610000	86670000	0.00578444444	73	measured
24	31	86610000	86680000	0.005835923411	75	measured
24	32	86610000	86690000	0.003849112471	60	measured
24	33	86610000	86700000	0.004600438303	58	measured
24	34	86610000	86710000	0.00425284166	47	measured
24	35	86610000	86720000	0.004508970592	59	measured
24	36	86610000	86730000	0.00346001007	61	measured
24	37	86610000	86740000	0.003347147328	42	measured
24	38	86610000	86750000	0.003256705376	43	measured
24	39	86610000	86760000	0.003287343398	49	measured
24	40	86610000	86770000	0.002844252982	37	measured
24	41	86610000	86780000	0.003769279679	39	measured
24	42	86610000	86790000	0.00399544828	70	measured
24	43	86610000	86800000	0.003939380383	51	measured
24	44	86610000	86810000	0.004442719265	68	measured
24	45	86610000	86820000	0.004300088598	51	measured
24	46	86610000	86830000	0.003619114446	34	measured
24	47	86610000	86840000	0.004150863176	57	measured
24	48	86610000	86850000	0.003494220334	48	measured
24	49	86610000	86860000	0.003489073629	45	measured
24	50	86610000	86870000	0.00338231429	40	measured
24	51	86610000	86880000	0.003783058286	65	measured
24	52	86610000	86890000	0.003563516415	36	measured
25	25	86620000	86620000	0.1191255197	1109	measured
25	26	86620000	86630000	0.03445960511	449	measured
25	27	86620000	86640000	0.01678195683	178	measured
25	28	86620000	86650000	0.01271037211	127	measured
